具体的な達成目標,5領域
排泄したいときに言葉やジェスチャーで意思表示ができるようになり、学校だけでなく家庭や外出先でも自立してトイレに行き、排泄ができるようになる。,"健康や生活
認知や行動"
身辺面のことを本人主体で行い、自立に向けて継続して取り組むことができる。,"健康や生活
認知や行動"
支援を通じて、歩行時の安定性を高め、足元や段差に注意しながら安全に自立して移動できるようにする。,運動や感覚
少人数のグループ活動を通して同年代との関わりを今よりも増やしていく,人間関係や社会性
"トレキングで身体を正しく動かせるようになる
公園遊び　室内遊び等を通して楽しみながら身体を動かすことができる",運動や感覚
安心できる環境の中で自分の気持ちを整理しながら活動に参加することができる,健康や生活
困った時やわからない時に言葉で伝える経験を増やしていく,言語やコミュニケーション
トイレでおしっこをしよう。,健康や生活
パンツ、ズボンを自分で上げ下げしよう。,"健康や生活
認知や行動"
体を動かしてあそぼう,運動や感覚
職員に気持ちを伝えよう。,言語やコミュニケーション
楽しく過ごそう。,人間関係や社会性
鼻が出ている時に自分から気が付いて鼻をかもう。,健康や生活
たくさん身体を動かそう。,運動や感覚
勝ち負けのあるゲームでも参加しよう。,認知や行動
自分の気持ちを伝えよう。,"言語やコミュニケーション
認知や行動"
少しづつ食べられるものを増やそう。,健康や生活
たくさん身体を動かそう。,運動や感覚
"魔法の言葉「まいっか」を使ってみる。
・場所にあった声で話そう。","認知や行動
言語やコミュニケーション"
今まで通りポジティブでいよう。,人間関係や社会性
いろんなことにチャレンジしよう。,健康や生活
友だちとちょうどいい距離で遊ぼう。,運動や感覚
たくさん身体を動かそう。,運動や感覚
気持ちが落ち着かない時に安心できる方法を探そう。,認知や行動
怖い言葉より、やさしい言葉を使おう。,"言語やコミュニケーション
人間関係や社会性"
お友達はどんなふうに感じたかな？と考えてみよう,"言語やコミュニケーション
人間関係や社会性"
見通しを立てて行動しよう,健康や生活
いろんな運動をしよう,運動や感覚
シャツが出ていないか確認しよう,認知や行動
言葉の意味や使い方の違いを知ろう。,言語やコミュニケーション
友達といろんな遊びを楽しもう。,人間関係や社会性
苦手や不快な気持ちを伝えられるようになろう。,人間関係や社会性
忘れ物をしないように気を付けよう。,健康や生活
身体を動かし楽しく過ごそう。,運動や感覚
「負けてもいいんだ」と感じられるようになろう。,運動や感覚
音読に親しみ、文章を読むことを楽しめるようになる。,認知や行動
九九（9×9）を繰り返し練習し、スムーズに言える段を増やす。,認知や行動
ユニークで楽しいことはどんどん発信して欲しい。,"言語やコミュニケーション
人間関係や社会性"
友達と安心して遊び、楽しい時間を共有できる。,"言語やコミュニケーション
人間関係や社会性"
体を動かすことを楽しみ、落ち着いて活動することができる。,健康や生活
遊びを通して体の使い方を知り、物を扱う際の力の加減を意識できるようになる。,運動や感覚
友達や周囲の様子に目を向け、相手の気持ちを感じられることを目指す。,"認知や行動
人間関係や社会性
言語やコミュニケーション"
自分の身支度が出来るようになる,"健康や生活
認知や行動"
トイレでおしっこが出来るようになる。,運動や感覚
上着の着脱がスムーズに出来るよことを目指そう。,運動や感覚
たくさんおしゃべりしよう。,"言語やコミュニケーション
人間関係や社会性"
楽しく過ごす。,"健康や生活
認知や行動"
食べ物博士になろう。,"健康や生活
認知や行動"
たくさん笑う。,運動や感覚
一文字でもいいので、自分で決めた字を書くことを目指そう。,認知や行動
自分の気持ちを話そう。,"認知や行動
言語やコミュニケーション
人間関係や社会性"
生活リズムを整え安定した生活を送る中で、安心して過ごせる事を目指す。,"健康や生活
認知や行動"
物にぶつかったり、転ばないようになる。,運動や感覚
